id,date,title,description,icon,image_url
m1,2026-06-15,"First Salary! 💸","So incredibly proud of you for securing the bag.",salary,
m2,2026-07-01,"The H&M Haul 🛍️","Bought completely with your own hard-earned money. Independent and stylish!",shopping,
